Company name,Street address,City,State,Zip,County,Mailing Address,Mailing City,Mailing State,Mailing Zip,Phone,Web Address,Contact Email,Headquarters,Year Founded,Services Offered,Firm Characteristics,Ownership Type,Employees Local,Employees Statewide,Employees Worldwide,Universal Employees,Revenue volume 2021 Companywide,Revenue volume 2020,Universal Revenue,Leadership Executive(s)First name,Leadership Executive(s)Middle Name,Leadership Executive(s)Last name,Leadership Executive(s)Suffix,Leadership Executive(s)Title,Leadership Executive(s)Email,Leadership Executive(s)Phone,Footnotes
3E Public Relations,19D Chapin Road,Pine Brook,New Jersey,07058,Morris,19D Chapin road,Pine Brook,New Jersey,07058,(973) 263-5475,www.3EPR.com,info@3EPR.com,Pine Brook,2013,"Full service award-winning public relations, social media, and content creation firm with proven track record of success and long-standing clients.",Locally owned,Private,,,,12,2350000,975000,3100000,Patrick,P.,Brightman,,President & CEO,pbrightman@3EPR.com,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
A J Images Inc.,259 E. First Ave.,Roselle,New Jersey,07203-1301,Union,,,,,(908) 241-6900,www.ajimages.com,sales@ajimages.com,,1966,Full service commercial printing from design thru fulfillment,,Private,,22,,24,6443051.16,5563876,10197994,Janet,,Greebel,,President,janet@ajimages.com,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
A J Images Inc.,259 E. First Ave.,Roselle,New Jersey,07203-1301,Union,,,,,(908) 241-6900,www.ajimages.com,sales@ajimages.com,,1966,Full service commercial printing from design thru fulfillment,,Private,,22,,24,6443051.16,5563876,10197994,Aharon,,Greebel,,,,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
A J Images Inc.,259 E. First Ave.,Roselle,New Jersey,07203-1301,Union,,,,,(908) 241-6900,www.ajimages.com,sales@ajimages.com,,1966,Full service commercial printing from design thru fulfillment,,Private,,22,,24,6443051.16,5563876,10197994,Steven,,Greebel,,Treasurer/CFO,accounting@ajimages.com,908-241-6900,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
A La Carte - Premier Servers LLC,13 Crossway,Clinton,New Jersey,08809,Hunterdon,,,,,(908) 343-6361,www.alacartesvc.com,mojosvc@gmail.com,,2008,"Executive wait-staff company provides staffing for all events: chef, bartenders and waiters for small gatherings to major events, our firm believes that every event is special",,Private,,45,,,809532,229598,,Monique,C.,Spicer,,Owner,mojosvc@gmail.com,,
A2Z Global Translations & Interpreting,"7905 Browning Road, Suite 112B",Pennsauken,New Jersey,08109,Camden,,,,,(856) 833-0220,www.a2zglobal.com,sales@a2zglobal.com,Pennsauken NJ USA,1980,"Foreign language translation in any language; interpreting- onsite, remote, teleinterpreting, ASL and voice overs; specializes in high volume technical and defense; EDWOSBE registered",,Private,,,,4,,,2500000,Theodora,,Landgren,,Director,tlandgren@a2zglobal.com,856 833 0220,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
Abacus Federal Savings Bank,869 U.S. Route 1 S.,Edison,New Jersey,08817,Middlesex,,,,,(732) 650-0022,,,,1991,,,,,,,,,,,Sophia,,Ho,,President,,,
ABCO Federal Credit Union,"621 Beverly Rancocas Road, Suite 1H",Willingboro,New Jersey,08046,Burlington,,,,,(800) 225-1859,www.abcofcu.org,,,1958,,,,,73,,70,,,,Jill,,Peterson,,,,,"Universal Employees: Source: # Employees, Statewide (2023)"
Abel HR Services,2 Corporate Drive,Cranbury,New Jersey,08512-3604,Middlesex,2 Corporate Drive,Cranbury,New Jersey,08512-3604,(609) 860-0400,www.AbelHR.com,info@AbelHR.com,Cranbury,1992,Full service HR outsourcing company,Family-owned,Corporation,,49,,43,270000000,230000000,305000000,James,W.,Bell,Sr.,President,jbellsr@abelhr.com,609-860-0400,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
Abel HR Services,2 Corporate Drive,Cranbury,New Jersey,08512-3604,Middlesex,2 Corporate Drive,Cranbury,New Jersey,08512-3604,(609) 860-0400,www.AbelHR.com,info@AbelHR.com,Cranbury,1992,Full service HR outsourcing company,Family-owned,Corporation,,49,,43,270000000,230000000,305000000,Douglas,,Abronski,,General manager,dabronski@abelhr.com,609-860-0400,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
Abel HR Services,2 Corporate Drive,Cranbury,New Jersey,08512-3604,Middlesex,2 Corporate Drive,Cranbury,New Jersey,08512-3604,(609) 860-0400,www.AbelHR.com,info@AbelHR.com,Cranbury,1992,Full service HR outsourcing company,Family-owned,Corporation,,49,,43,270000000,230000000,305000000,James,W.,Bell,III,Executive Vice President,jbell3@abelhr.com,609-860-0400,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
ABOYOUN DOBBS LLC,77 Route 46 W.,Pine Brook,New Jersey,07058,Morris,,,,,(973) 575-9600,www.aboyoundobbs.com,,,1989,Law Firm that specializes in representing Automobile Dealers.,,Private,,13,,,7300000,6600000,,Seth,L.,Dobbs,,Partner,sdobbs@aboylaw.com,,
ABOYOUN DOBBS LLC,77 Route 46 W.,Pine Brook,New Jersey,07058,Morris,,,,,(973) 575-9600,www.aboyoundobbs.com,,,1989,Law Firm that specializes in representing Automobile Dealers.,,Private,,13,,,7300000,6600000,,Joseph,S.,Aboyoun,,Partner,jaboyoun@aboyoundobbs.com,,
Absolute Events By Corrine LLC,Florence Terrace,Piscataway,New Jersey,08854,Middlesex,,,,,(201) 327-1000,www.absoluteeventsbycorrine.com,cs@absoluteeventsbycorrine.com,Piscataway,2007,Provides memorable and valuable experiences through the use of Meetings & Special events for companies in person or virtually.,Certified Minority-owned; Certified Woman-owned,Private,,1,,2,110000,35000,141000,Corrine,Statia,Thomas,,Founder/Meetings and Events Specialist,cs@absoluteeventsbycorrine.com,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
Absolute Home Mortgage Corp.,"279 Browertown Road, Suite 105",Woodland Park,New Jersey,07424,Passaic,,,,,(973) 237-9002,www.ahmcloans.com,customer.service@ahmcloans.com,,1998,,,,,,,,,,,Matthew,D.,VanFossen,,Chief operating officer,,,
ACCOUNTANCY CONSULTANTS of New Jersey d/b/a Barnegat CPA Tax Services,100 Heritage Point Blvd.,Barnegat,New Jersey,08005-3395,Ocean,100 Heritage Point Blvd.,Barnegat,New Jersey,08005-3395,(609) 698-0689,www.practicalCPA.com,BarnegatCPA@verizon.net,Barnegat,1992,"A local Certified Public Accounting Firm ... Taxes, Bookkeeping, Accounting, and Consulting for Small Businesses and Individuals.",Certified Veteran-owned,Private,,0,,1,68493,75873.72,,Joseph,J.,Gawalis,Jr.,Proprietor/LLC member,BarnegatCPA@verizon.net,,"Universal Employees: Source: # Employees, Statewide (2023)"
ACCU Staffing,911 Kings Hwy. N.,Cherry Hill,New Jersey,08034,Camden,911 Kings Hwy. N.,Cherry Hill,New Jersey,08034,(856) 482-2222,accustaffing.com,elaine.damm@accustaffing.com,Cherry Hill,1979,"Full-service staffing provider offering long-term, project sourced and direct placement candidates.",Certified Woman-owned; Family-owned,Private,,15571,,13137,97431412,89566116,102938512,William,E.,Damm,,CTO,,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
ACCU Staffing,911 Kings Hwy. N.,Cherry Hill,New Jersey,08034,Camden,911 Kings Hwy. N.,Cherry Hill,New Jersey,08034,(856) 482-2222,accustaffing.com,elaine.damm@accustaffing.com,Cherry Hill,1979,"Full-service staffing provider offering long-term, project sourced and direct placement candidates.",Certified Woman-owned; Family-owned,Private,,15571,,13137,97431412,89566116,102938512,Edward,H.,Damm,,COO,,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
ACCU Staffing,911 Kings Hwy. N.,Cherry Hill,New Jersey,08034,Camden,911 Kings Hwy. N.,Cherry Hill,New Jersey,08034,(856) 482-2222,accustaffing.com,elaine.damm@accustaffing.com,Cherry Hill,1979,"Full-service staffing provider offering long-term, project sourced and direct placement candidates.",Certified Woman-owned; Family-owned,Private,,15571,,13137,97431412,89566116,102938512,Elaine,M.,Damm,,CEO/President,,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
Accurate,"32 Cross St., Suite 301",Lakewood,New Jersey,08701,Ocean,,,,,(732) 941-0300,www.accurate-re.com,,Lakewood,2009,,Locally owned,Private,,,,,,,,Jack,,Klugmann,,President & CEO,info@accuratenj.com,,
Adaptation,"39 Avenue of the Commons, Suite 209",Shrewsbury,New Jersey,07702,Monmouth,,,,,(732) 383-8474,www.adaptation-inc.com,contactus@adaptation-inc.com,,1997,Change management consulting,,Private,,,,,,,,Allyson,C.,Gilbert,,CEO,,,
ADD Systems,6 Laurel Drive,Flanders,New Jersey,07836,Morris,6 Laurel Drive,Flanders,New Jersey,07836,(973) 584-4026,www.addsys.com,,Flanders,1973,"ADD Systems is the leader in software solutions to the Petroleum, Propane and Convenience Store Industry in the US & Canada.",Family-owned,Private,,,,154,32255064,,36051861,Rob,,Culbertson,,Senior Vice President & COO,culbertson@addsys.com,,Universal Employees: Source: # Employees (2023);  Universal Revenue: Source: Revenue volume (2022)
ADD Systems,6 Laurel Drive,Flanders,New Jersey,07836,Morris,6 Laurel Drive,Flanders,New Jersey,07836,(973) 584-4026,www.addsys.com,,Flanders,1973,"ADD Systems is the leader in software solutions to the Petroleum, Propane and Convenience Store Industry in the US & Canada.",Family-owned,Private,,,,154,32255064,,36051861,Gale,,Bott,,Treasurer,bottg@addsys.com,,Universal Employees: Source: # Employees (2023);  Universal Revenue: Source: Revenue volume (2022)
ADD Systems,6 Laurel Drive,Flanders,New Jersey,07836,Morris,6 Laurel Drive,Flanders,New Jersey,07836,(973) 584-4026,www.addsys.com,,Flanders,1973,"ADD Systems is the leader in software solutions to the Petroleum, Propane and Convenience Store Industry in the US & Canada.",Family-owned,Private,,,,154,32255064,,36051861,Bruce,Carl,Bott,,President,bottbc@addsys.com,,Universal Employees: Source: # Employees (2023);  Universal Revenue: Source: Revenue volume (2022)
Adler Development,"160 Raritan Center Parkway, Unit 20",Edison,New Jersey,08837,Middlesex,,,,,(732) 225-5000,www.adlerdevelopment.com,info@adlerdev.com,Edsion,1963,A full-service real estate development firm focused on industrial and multifamily properties with expertise in development and management.,,Private,,15,,25,,,,Bernie,,Adler,,Partner,,,"Universal Employees: Source: # Employees, Statewide (2023)"
Adler Development,"160 Raritan Center Parkway, Unit 20",Edison,New Jersey,08837,Middlesex,,,,,(732) 225-5000,www.adlerdevelopment.com,info@adlerdev.com,Edsion,1963,A full-service real estate development firm focused on industrial and multifamily properties with expertise in development and management.,,Private,,15,,25,,,,Joshua,,Adler,,Partner,joshua@adlerdev.com,(732) 225-5000,"Universal Employees: Source: # Employees, Statewide (2023)"
Adler Development,"160 Raritan Center Parkway, Unit 20",Edison,New Jersey,08837,Middlesex,,,,,(732) 225-5000,www.adlerdevelopment.com,info@adlerdev.com,Edsion,1963,A full-service real estate development firm focused on industrial and multifamily properties with expertise in development and management.,,Private,,15,,25,,,,Seth,,Adler,,Partner,,,"Universal Employees: Source: # Employees, Statewide (2023)"
ADM Tronics Unlimited Inc.,224S Pegasus Ave.,Northvale,New Jersey,07647,Bergen,,,,,(201) 767-6040,www.admtronics.com,sales@admtronics.com,Northvale,1969,Manufacturing,Publicly owned company,Public,,31,,32,3450000,3800000,,Andre,,DiMino,,President,andre@admtronics.com,(201) 767-6040,Universal Employees: Source: # Employees (2023)
Advanced Clinical Institute Inc.,2100 Corlies Ave.,Neptune,New Jersey,07753,Monmouth,"2100 Corlies Ave., Suite 12",Neptune,New Jersey,07753,(732) 807-4700,www.acineptune.com,info@acineptune.com,Neptune,2019,Alzheimer's Clinical research,Locally owned,Private,,,,,,,,,,,,,,,
Advanced Solar Products Inc.,"270 S. Main St.,  Suite 203",Flemington,New Jersey,08822,Hunterdon,,,,,(908) 751-5818,www.advancedsolarproducts.com,sales@advancedsolarproducts.com,,1991,"Advanced Solar Products, Inc. (ASP) is a leading company in the field of solar energy and related sustainable technologies.",,Private,,34,,,23307566,14232372,,Lyle,,Rawlings,,President and CEO,sales@advancedsolarproducts.com,,
Advanced Solar Products Inc.,"270 S. Main St.,  Suite 203",Flemington,New Jersey,08822,Hunterdon,,,,,(908) 751-5818,www.advancedsolarproducts.com,sales@advancedsolarproducts.com,,1991,"Advanced Solar Products, Inc. (ASP) is a leading company in the field of solar energy and related sustainable technologies.",,Private,,34,,,23307566,14232372,,Edward,,Seliga,,COO,sales@advancedsolarproducts.com,,
Advisors Mortgage Group LLC,1411 Route 35 N.,Ocean,New Jersey,07712,Monmouth,1411 Route 35 N.,Ocean Township,New Jersey,07712,(732) 292-3133,www.advisorsmortgage.com,,Ocean Twp,1999,Financial services,Family-owned,Private,,116,,227,124154789,118828743,50713595,Steven,,Meyer,,President,smeyer@advisorsmortgage.com,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
Advocacy & Management Group,"150 W. State St., Suite 110",Trenton,New Jersey,08608,Mercer,,,,,(609) 392-7553,www.amg101.com,,,2002,,,,,,,,,,,AJ,,Sabath,,President and CEO,,,
Advocacy & Management Group,"150 W. State St., Suite 110",Trenton,New Jersey,08608,Mercer,,,,,(609) 392-7553,www.amg101.com,,,2002,,,,,,,,,,,Lynn,,Haynes,,Partner,,,
AECOM,1255 Broad St.,Clifton,New Jersey,07013,Passaic,,,,,(973) 883-8500,www.aecom.com,BusinessInquiry.Americas@aecom.com,Dalas,1990,"Scientists, engineers, architects, planners",Publicly owned company,Public,,419,,432,13341000000,13200000000,13148000000,Beth,,Bernitt,,"SVP, Regional Managing Principal",elisabeth.bernitt@aecom.com,,"Year Founded: AECOM was founded in 1990; acquired firms throughout New Jersey date back to 1965.;  Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
AECOM,"30 Knightsbridge Road, Suite 520",Piscataway,New Jersey,08854,Middlesex,"30 Knightsbridge Road, Suite 520",Piscataway,New Jersey,08854,(732) 564-3200,www.aecom.com,BusinessInquiry.Americas@aecom.com,Dallas,1990,"AECOM delivers professional services -- from advisory, planning, design and engineering to program and construction management.",,Public,,416,,50000,13341000000,95500000,13148000000,Samuel,,Donelson,,Vice President,samuel.donelson@aecom.com,,Year Founded: AECOM was founded in 1990; acquired firms throughout New Jersey date back to 1965.;  Universal Employees: Source: # Employees (2023);  Universal Revenue: Source: Revenue volume (2022)
AECOM,"30 Knightsbridge Road, Suite 520",Piscataway,New Jersey,08854,Middlesex,"30 Knightsbridge Road, Suite 520",Piscataway,New Jersey,08854,(732) 564-3200,www.aecom.com,BusinessInquiry.Americas@aecom.com,Dallas,1990,"AECOM delivers professional services -- from advisory, planning, design and engineering to program and construction management.",,Public,,416,,50000,13341000000,95500000,13148000000,Jihane,,Fazio,,"VP, NJ Transportation Design Business Manager",jihane.fazio@aecom.com,,Year Founded: AECOM was founded in 1990; acquired firms throughout New Jersey date back to 1965.;  Universal Employees: Source: # Employees (2023);  Universal Revenue: Source: Revenue volume (2022)
AECOM,"30 Knightsbridge Road, Suite 520",Piscataway,New Jersey,08854,Middlesex,"30 Knightsbridge Road, Suite 520",Piscataway,New Jersey,08854,(732) 564-3200,www.aecom.com,BusinessInquiry.Americas@aecom.com,Dallas,1990,"AECOM delivers professional services -- from advisory, planning, design and engineering to program and construction management.",,Public,,416,,50000,13341000000,95500000,13148000000,Melissa,,Saunders,,"Associate Vice President, NY/NJ Area Manager - Remediation Practices",melissa.saunders@aecom.com,,Year Founded: AECOM was founded in 1990; acquired firms throughout New Jersey date back to 1965.;  Universal Employees: Source: # Employees (2023);  Universal Revenue: Source: Revenue volume (2022)
Aetna Inc.,"9 Entin Road, 2nd Floor",Parsippany,New Jersey,07054,Morris,,,,,(973) 244-3500,www.aetna.com,,,1853,IPA,,Public,,,,,,,,Karen,S.,Lynch,,"On Feb. 1, 2021, it was announced Karen S. Lynch became president and CEO of CVS Health. Prior to becoming CEO, she was executive vice president, CVS Health and president of Aetna.",,,
Affinity Federal Credit Union,73 Mountainview Blvd.,Basking Ridge,New Jersey,07920,Somerset,,,,,(908) 860-7208,www.affinityfcu.org,,,1935,,,Nonprofit,,460,,504,,,,John,,Fenton,,"October 31, 2022: After leading Affinity Federal Credit Union for more than 27 years as president and CEO, John Fenton will hand over the reins to Kevin Brauer, effective Jan. 1, 2023.",,,"Universal Employees: Source: # Employees, Statewide (2023)"
African American Chamber of Commerce of New Jersey,379 W. State St.,Trenton,New Jersey,08608,Mercer,379 W. State St.,Trenton,New Jersey,08608,(609) 571-1620,www.aaccnj.com,info@aaccnj.com,Trenton,2007,The AACCNJ is dedicated to economically empowering and sustaining African American communities and businesses throughout NJ.,,,,14,,18,,1812873,1812873,Ferlanda,,Nixon,,Chief of Policy and External Affairs,fnixon@aaccnj.com,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2020)"
African American Chamber of Commerce of New Jersey,379 W. State St.,Trenton,New Jersey,08608,Mercer,379 W. State St.,Trenton,New Jersey,08608,(609) 571-1620,www.aaccnj.com,info@aaccnj.com,Trenton,2007,The AACCNJ is dedicated to economically empowering and sustaining African American communities and businesses throughout NJ.,,,,14,,18,,1812873,1812873,Mary,O.,Griffin,,VP of Membership Retention,mgriffin@aaccnj.com,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2020)"
African American Chamber of Commerce of New Jersey,379 W. State St.,Trenton,New Jersey,08608,Mercer,379 W. State St.,Trenton,New Jersey,08608,(609) 571-1620,www.aaccnj.com,info@aaccnj.com,Trenton,2007,The AACCNJ is dedicated to economically empowering and sustaining African American communities and businesses throughout NJ.,,,,14,,18,,1812873,1812873,John,E.,Harmon,,"Founder, President and CEO",jharmon@aacnj.com,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2020)"
African American Chamber of Commerce of New Jersey,379 W. State St.,Trenton,New Jersey,08608,Mercer,379 W. State St.,Trenton,New Jersey,08608,(609) 571-1620,www.aaccnj.com,info@aaccnj.com,Trenton,2007,The AACCNJ is dedicated to economically empowering and sustaining African American communities and businesses throughout NJ.,,,,14,,18,,1812873,1812873,Philip,,Woolfolk,,Chief Operations Officer,pwoolfolk@aaccnj.com,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2020)"
Air Victory Museum,68 Stacy Haines Road,Lumberton,New Jersey,08048,Burlington,,,,,(609) 267-4488,www.airvictorymuseum.com,,,1996,,,Nonprofit,,,,,,,,Charles,,Applegate,,President,,,
Air Victory Museum,68 Stacy Haines Road,Lumberton,New Jersey,08048,Burlington,,,,,(609) 267-4488,www.airvictorymuseum.com,,,1996,,,Nonprofit,,,,,,,,Fred,,Koch,,President,,,
AJC Realty Exchange LLC,321 Sip Ave.,Jersey City,New Jersey,07306,Hudson,,,,,(201) 324-1000,www.ajcrealtyexchange.com,alcupo@ajcrealtyexchange.com,Jersey City,1980,General real estate brokerage,Family-owned,Private,,5,,10,425000,350000,425000,Albert,J.,Cupo,,Broker of Record,alcupo4@aol.com,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
AKCG - Public Relations Counselors,121 W. High St.,Glassboro,New Jersey,08028,Gloucester,,,,,(856) 866-0411,www.akcg.com,AKCG@akcg.com,Glassboro,1982,"Public relations, market positioning, crisis preparedness, community outreach, media relations, new & social media, internal communications, branding",,Private,,,,16,1995303,,3015579,Michael,S.,Gross,,President,mike@akcg.com,,Universal Employees: Source: # Employees (2023);  Universal Revenue: Source: Revenue volume (2022)
AKCG - Public Relations Counselors,121 W. High St.,Glassboro,New Jersey,08028,Gloucester,,,,,(856) 866-0411,www.akcg.com,AKCG@akcg.com,Glassboro,1982,"Public relations, market positioning, crisis preparedness, community outreach, media relations, new & social media, internal communications, branding",,Private,,,,16,1995303,,3015579,Christopher,J.,Lukach,,CEO,chris@akcg.com,,Universal Employees: Source: # Employees (2023);  Universal Revenue: Source: Revenue volume (2022)
AKCG - Public Relations Counselors,121 W. High St.,Glassboro,New Jersey,08028,Gloucester,,,,,(856) 866-0411,www.akcg.com,AKCG@akcg.com,Glassboro,1982,"Public relations, market positioning, crisis preparedness, community outreach, media relations, new & social media, internal communications, branding",,Private,,,,16,1995303,,3015579,Mike,,Gross,,President,mike@akcg.com,(856) 866-0411,Universal Employees: Source: # Employees (2023);  Universal Revenue: Source: Revenue volume (2022)
AKCG - Public Relations Counselors,121 W. High St.,Glassboro,New Jersey,08028,Gloucester,,,,,(856) 866-0411,www.akcg.com,AKCG@akcg.com,Glassboro,1982,"Public relations, market positioning, crisis preparedness, community outreach, media relations, new & social media, internal communications, branding",,Private,,,,16,1995303,,3015579,Gerhart,L.,Klein,,EVP,,,Universal Employees: Source: # Employees (2023);  Universal Revenue: Source: Revenue volume (2022)
AKCG - Public Relations Counselors,121 W. High St.,Glassboro,New Jersey,08028,Gloucester,,,,,(856) 866-0411,www.akcg.com,AKCG@akcg.com,Glassboro,1982,"Public relations, market positioning, crisis preparedness, community outreach, media relations, new & social media, internal communications, branding",,Private,,,,16,1995303,,3015579,Anne,Sceia,Klein,,Founder,,,Universal Employees: Source: # Employees (2023);  Universal Revenue: Source: Revenue volume (2022)
"Alan N. Walter, Counsel",32 S. Mountain Ave.,Montclair,New Jersey,07042,Essex,,,,,(973) 937-8636,waltercounsel.com,alan@waltercounsel.com,,2001,"Law Firm for Innovators, Start-ups and Entrepreneurs",Headquarters; Locally owned,Private,,1,,1,1,1,,Alan,N.,Walter,,Founder,alan@waltercounsel.com,,"Universal Employees: Source: # Employees, Statewide (2023)"
Alborada Spanish Dance Theatre,"C/O The Township of Woodbridge, 101 Main St.",Woodbridge,New Jersey,07095,Middlesex,101 Main St.,Woodbridge,,07095,(732) 598-3979,www.AlboradaDance.org,AlboradaDance@optonline.net,Middlesex,1995,"Performing Arts and Arts-in-Education non-profit organization. Mostly dances and music from Spain, interwoven with Cross-cultural Hispanic shows.",Certified Woman-owned,Nonprofit,,,,1,60523,,85927,Eva,,Lucena,,Artistic/Executive Director,AlboradaDance@optonline.net,(732) 598-3979,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
Alborada Spanish Dance Theatre,"C/O The Township of Woodbridge, 101 Main St.",Woodbridge,New Jersey,07095,Middlesex,101 Main St.,Woodbridge,,07095,(732) 598-3979,www.AlboradaDance.org,AlboradaDance@optonline.net,Middlesex,1995,"Performing Arts and Arts-in-Education non-profit organization. Mostly dances and music from Spain, interwoven with Cross-cultural Hispanic shows.",Certified Woman-owned,Nonprofit,,,,1,60523,,85927,Marta,,Silverberg,,Vice Chair,msilverberg@mfcnj.org,732-453-4827,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
Alfred Sanzari Enterprises,"25 Main St., Suite 600",Hackensack,New Jersey,07601,Bergen,,,,,(201) 342-2777,www.sanzari.com,info@sanzari.com,,1945,a preeminent family-owned and operated commercial and residential real estate firm,Family-owned,Private,,,,39,,,,Ben,,Sanzari,,Vice President,,,"Universal Employees: Source: # Employees, Statewide (2023)"
Alfred Sanzari Enterprises,"25 Main St., Suite 600",Hackensack,New Jersey,07601,Bergen,,,,,(201) 342-2777,www.sanzari.com,info@sanzari.com,,1945,a preeminent family-owned and operated commercial and residential real estate firm,Family-owned,Private,,,,39,,,,Ryan,,Sanzari,,President,,,"Universal Employees: Source: # Employees, Statewide (2023)"
